City,State Name,total crime rate (per 1000),Education Ranking ,cost of living index,Housing Budget,Population Density,Longitude,Latitude,Air quailty,Sunshine
knoxville,tennessee,50.17332217,111,91.6,1227.5,733.3,-83.9496,35.9692,11.3,57
lansing,michigan,57.99782372,112,88.7,895,1158.9,-84.5601,42.7142,9.6,50
anchorage,alaska,55.05837049,113,110.7,1695,66.1,-149.1091,61.1508,6,43
midland,texas,14.17577967,114,97.8,2500,722.2,-102.1147,32.0243,Nah,Nah
cedar rapids,iowa,35.93095883,115,88.1,950,712.9,-91.6783,41.9662,8.8,Nah
winston-salem,north carolina,51.85,116,91.2,1249,712.9,-80.261,36.1029,9.2,Nah
chattanooga,tennessee,66.27513088,117,91.2,1350,491.9,-85.2481,35.066,9.4,55
lubbock,texas,56.14410049,118,88.8,1195,736.6,-101.8879,33.5657,6.2,72
colorado springs,colorado,42.5165955,119,102.2,1600,930,-104.7605,38.8674,6,Nah
eugene,oregon,39.605504,120,108.4,1595,1489.3,-123.1174,44.0564,9.9,Nah
anaheim,california,26.49788791,121,106.3,2700,2711.7,-117.8574,33.839,Nah,Nah
spokane,washington,66.08840822,122,100.4,1300,1230.8,-117.433,47.6671,11.4,52
reno,nevada,26.58944993,123,107.4,1750,889.9,-119.8483,39.5497,12.4,81
jacksonville,florida,62.07335621,124,99,2200,466.3,-81.6749,30.3322,8.8,64
clarksville,tennessee,63.84650948,125,88.7,1195,605.6,-87.3413,36.5692,10.4,Nah
vancouver,washington,37.22018656,126,99.8,1795,1447.8,-122.5967,45.6366,Nah,Nah
phoenix,arizona,56.84028528,127,104.3,1450,1235.5,-112.0892,33.5722,12.7,85
las vegas,nevada,33.028,128,100.7,1500,1754.7,-115.2654,36.2333,9.9,84
toledo,ohio,44.14544524,129,87.5,800,1319.7,-83.5827,41.6638,8.9,50
green bay,wisconsin,21.45877781,130,91.4,875,887.2,-87.9895,44.5148,8.7,55
louisville,kentucky,14.72227383,131,91.6,1125,907.6,-85.6485,38.1663,11.2,55
south bend,indiana,55.45201287,132,87.2,800,944.5,-86.2696,41.6767,10,Nah
wichita falls,texas,33.92602653,133,85.7,847.5,561.1,-98.5291,33.9072,Nah,Nah
peoria,illinois,47.92934072,134,86.7,750,906.6,-89.6154,40.752,9.9,54
tyler,texas,33.75728819,135,92.8,1295,711.4,-95.3062,32.3184,Nah,Nah
amarillo,texas,46.17083507,136,88.2,1200,748,-101.8316,35.1984,6.2,72
allentown,pennsylvania,26.69566288,137,98.9,1300,2663.3,-75.4756,40.5961,9.9,Nah
akron,ohio,42.1968648,138,89.4,795,1230.5,-81.5219,41.0798,8.7,Nah
mesa,arizona,22.45638413,139,102.4,1475,1415.7,-111.7178,33.4015,Nah,Nah
baton rouge,louisiana,62.26659657,140,91.1,1200,993.9,-91.1311,30.442,8.8,Nah
abilene,texas,28.86831359,141,89.1,1095,451.3,-99.7384,32.4543,Nah,69
erie,pennsylvania,23.92679007,142,91.8,950,1948.6,-80.0733,42.1167,Nah,Nah
fayetteville,north carolina,49.28813559,143,90.4,947,550,-78.9772,35.085,8.2,Nah
davenport,iowa,44.21243847,144,87.2,995,618.5,-90.6053,41.5565,9.4,Nah
provo,utah,16.23019225,145,100.9,1785,1082.6,-111.6457,40.2457,7.7,Nah
birmingham,alabama,6.378323013,146,90.7,850,553.9,-86.7971,33.5279,12.6,58
ventura,california,30.70898599,147,132.2,2700,1280.4,-119.227778,34.275,Nah,Nah
springfield,illinois,93.11903566,148,106.5,900,726,-89.654,39.7709,8.7,57
salem,oregon,63.80263718,149,105.8,1495,1358.7,-123.0244,44.9233,Nah,Nah
el paso,texas,25.31181218,150,88.6,1175,1015.8,-106.43,31.8476,9.2,83
mcallen,texas,25.77372943,151,86,1350,883.4,-98.2467,26.2252,11,Nah
killeen,texas,26.44370093,152,88.6,1000,1046.1,-97.7297,31.0753,7.4,Nah
santa rosa,california,29.55665025,153,141.7,2600,1619.6,-122.7067,38.4458,Nah,Nah
albuquerque,new mexico,13.5179385,154,92.9,1300,1155.5,-106.6465,35.1054,11.3,76
billings,montana,40.82651228,155,95.7,1195,945,-108.5526,45.7891,10,58
columbus,georgia,48.24120603,156,93.9,850,348.5,-84.8771,32.51,11.1,Nah
dayton,ohio,50.01887101,157,88.4,764,971.7,-84.2003,39.7805,9.9,53
augusta,georgia,38.35440326,158,100,950,252.3,-82.0708,33.3645,12.1,Nah
springfield,missouri,93.11903566,159,106.5,850,784.1,-93.2916,37.1943,Nah,58
tucson,arizona,39.60435761,160,97.7,1285,873.6,-110.8787,32.1541,6.6,85
corpus christi,texas,42.39948986,161,93.3,1500,777,-97.3767,27.7254,8.7,59
hartford,connecticut,36.5904536,162,104.8,1100,2722.5,-72.6834,41.7661,8,58
topeka,kansas,57.02916716,163,85.6,795,788.4,-95.6955,39.0346,10.3,59
waco,texas,38.59297919,164,89.5,1150,599.5,-97.1882,31.5599,Nah,Nah
kansas city,kansas,52.87278915,165,91.6,950,473.6,-94.7443,39.1235,11.2,Nah
riverside,california,66.15559341,166,116.1,2000,1557,-117.3949,33.9381,14.7,Nah
springfield,massachusetts,93.11903566,167,106.5,1450,1861.8,-72.5395,42.1155,6.6,Nah
detroit,michigan,62.68255408,168,93.2,850,1871.2,-83.1024,42.3834,12.4,52
las cruces,new mexico,40.77472952,169,88.8,1070,516.7,-106.7893,32.3265,9.3,Nah
odessa,texas,39.73499206,170,92.7,2000,920,-102.3448,31.8801,7.4,Nah
memphis,tennessee,80.2985809,171,88.2,942.5,852.1,-89.9663,35.1087,9.2,63
mobile,alabama,141.06,172,88.3,900,525.9,-88.1162,30.6782,7.7,Nah
lakeland,florida,31.89678983,173,96.4,1297,642.7,-81.9545,28.0557,Nah,Nah
evansville,indiana,47.90144435,174,87.2,750,965.5,-87.5341,37.9881,10.5,58
montgomery,alabama,15.0047674,175,88.5,875,480.8,-86.2668,32.3482,7.9,58
beaumont,texas,46.62539431,176,88.6,1195,549.3,-94.1451,30.0849,7.8,Nah
port st. lucie,florida,9.973274232,177,101.1,1600,634,-80.3884,27.2796,Nah,Nah
visalia,california,33.23923207,178,103.6,1400,1352.8,-119.3269,36.3276,20.7,Nah
fresno,california,40.35,179,105.9,1395,1757.3,-119.7939,36.783,17.2,76
pueblo,colorado,42.72074461,180,92.2,1050,768.2,-104.6114,38.2701,Nah,78
rockford,illinois,45.01128885,181,87.2,900,877,-89.064,42.2596,9.8,Nah
jackson,mississippi,52.42592991,182,87.8,900,566,-90.2125,32.3157,10.5,59
shreveport,louisiana,56.78837254,183,85.8,765,678,-93.7955,32.4653,9.3,58
vallejo,california,48.73753638,184,125.2,2195,1539.3,-122.2342,38.1125,8.4,Nah
modesto,california,41.28991143,185,112.3,1550,1923.9,-121.0028,37.6375,15,Nah
bakersfield,california,45.96990311,186,102.9,1595,979,-119.0359,35.3529,20,Nah
laredo,texas,20.8669918,187,90.1,1300,941.8,-99.4874,27.5625,10.2,Nah
stockton,california,53.40174232,188,113.6,1672.5,1925.2,-121.3109,37.9765,12.1,Nah
brownsville,texas,51.41388175,189,87.8,1250,534.4,-97.458,25.9975,9.2,59
san bernardino,california,55.09078744,190,91.3,1500,1347,-117.2943,34.1416,Nah,Nah
santa maria,california,33.1,191,143,1997.5,1786.2,-120.4431,34.9333,6.7,Nah
salinas,california,27.48768661,192,138.3,2600,2564.3,-121.6317,36.6883,6.7,Nah
